State,County,Latitude,Longitude,Region,Year,Population,Med_Sales,Rec_Sales,med_sales_per_citizen,rec_sales_per_citizen,Medical Sales Tax (2.9%),Retail Sales Tax (2.9%),Retail Marijuana Special Sales Tax
COLORADO,Gilpin,39.861082,-105.528947,NE,2016,5901,NR,2654538,NR,449.8454499,701,69088.51,231253.06
COLORADO,Grand,40.123289,-106.095876,NW,2016,15124,NR,3292626,NR,217.708675,NR,90518,270157.4
COLORADO,Gunnison,38.669679,-107.078108,SW,2016,16433,NR,5421591,NR,329.9209517,NR,161410.65,422319.34
COLORADO,Hinsdale,37.811625,-107.383405,SW,2016,786,0,0,0,0,0,0,0
COLORADO,Huerfano,37.687815,-104.959928,SE,2016,6557,0,NR,0,NR,0,NR,NR
COLORADO,Jackson,40.663432,-106.329248,NW,2016,1356,0,0,0,0,0,0,0
COLORADO,Jefferson,39.58646,-105.245601,NE,2016,570932,19555613,46058623,34.25208781,80.67269482,563250.51,1287357.98,3754751.13
COLORADO,Kiowa,38.388466,-102.75621,SE,2016,1343,0,0,0,0,0,0,0
COLORADO,Kit Carson,39.30534,-102.603023,NE,2016,7629,0,0,0,0,0,0,0
COLORADO,La Plata,39.30534,-102.603023,NW,2016,55378,4751071,22269388,85.79347394,402.1342049,0,40362,117031
COLORADO,Lake,39.204316,-106.349696,SW,2016,7534,0,1559668,0,207.0172551,133055,589876.85,1909225.14
COLORADO,Larimer,40.663091,-105.482131,NE,2016,338704,15839352,44288501,46.76458501,130.7587185,418448.44,1232733.06,3674845.65
COLORADO,Las Animas,37.318831,-104.04411,SE,2016,14059,NR,21456457,NR,1526.172345,NR,560017.56,1722751.21
COLORADO,Lincoln,38.99374,-103.507555,SE,2016,5551,0,0,0,0,2907,34131,0
COLORADO,Logan,40.728091,-103.090464,NE,2016,22043,0,0,0,0,0,0,0
COLORADO,Mesa,39.019492,-108.461837,NW,2016,150258,NR,NR,NR,NR,NR,NR,NR
COLORADO,Mineral,37.651478,-106.9323,SW,2016,756,0,0,0,0,0,0,0
COLORADO,Moffat,40.573984,-108.204521,NW,2016,13169,NR,0,NR,0,NR,0,0
COLORADO,Montezuma,37.338025,-108.595786,SW,2016,25961,1001886,12108651,38.59196487,466.4169716,26795,288012,974944.18
COLORADO,Montrose,38.413427,-108.263042,SW,2016,41142,NR,0,NR,0,NR,0,0
COLORADO,Morgan,40.262354,-103.807092,NE,2016,28015,NR,4138320,NR,147.7180082,NR,112087,317958
COLORADO,Otero,37.88417,-103.72126,SE,2016,18206,NR,0,NR,0,0,0,0
COLORADO,Ouray,38.1506,-107.767133,SW,2016,4766,NR,2877032,NR,603.6575745,NR,80008,258850
COLORADO,Park,39.118914,-105.717648,NW,2016,17339,NR,3331577,NR,192.1435492,NR,94687.87,273586.79
COLORADO,Phillips,40.594712,-102.345105,NE,2016,4274,0,0,0,0,0,0,0
COLORADO,Pitkin,39.217533,-106.915943,NW,2016,17873,1035481,9593269,57.93548929,536.7464332,42832.09,246530.89,810634.24
COLORADO,Prowers,37.958181,-102.392161,SE,2016,11939,0,0,0,0,0,0,0
COLORADO,Pueblo,38.170658,-104.489893,SE,2016,164447,12103990,28801714,73.60420075,175.1428363,265128.63,726319.01,2409175.01
COLORADO,Rio Blanco,39.972606,-108.200685,NW,2016,6434,0,0,0,0,0,0,0
COLORADO,Rio Grande,37.485763,-106.453214,SW,2016,11313,0,0,0,0,0,0,0
COLORADO,Routt,40.48316,-106.985289,NW,2016,24667,1838231,8693203,74.52187133,352.4223862,52900,249219,726062.72
COLORADO,Saguache,38.033952,-106.246675,SW,2016,6412,0,NR,0,NR,0,NR,NR
COLORADO,San Juan,37.781075,-107.670257,SW,2016,689,0,NR,0,NR,NR,NR,NR
COLORADO,San Miguel,38.009374,-108.427326,SW,2016,7957,417226,3351876,52.4350886,421.2487118,12930,101626,286495.9
COLORADO,Sedgwick,40.871568,-102.355358,NE,2016,2399,NR,NR,NR,NR,NR,NR,NR
COLORADO,Summit,39.621023,-106.137555,NW,2016,30324,1756713,20115627,57.93144044,663.3566482,52301,564690,1654073.2
COLORADO,Teller,38.871994,-105.182552,SE,2016,24012,NR,0,NR,0,NR,0,0
COLORADO,Washington,39.965413,-103.209605,NE,2016,4831,0,0,0,0,0,0,0
COLORADO,Weld,40.555794,-104.383649,NE,2016,294294,3425078,26625504,11.63828688,90.47246631,104089,739474,2208675.79
COLORADO,Yuma,40.000631,-102.422649,NE,2016,10145,0,0,0,0,0,0,0
COLORADO,Not Reported,,,,2016,,9203490,53267417,,,254180.7,1425366.3,4136845.51
COLORADO,Adams,39.874325,-104.331872,NE,2017,503375,11187391,62132216,22.22476484,123.4312709,297812,937857,6398279
COLORADO,Alamosa,37.568442,-105.788041,SW,2017,16056,NR,0,NR,0,NR,0,0
COLORADO,Arapahoe,39.644632,-104.331733,NE,2017,643257,12477526,111836427,19.39741969,173.8596346,368409,1873934,11953841
COLORADO,Archuleta,37.202395,-107.050863,SW,2017,13316,NR,6397398,NR,480.4294082,NR,82679,655314
COLORADO,Baca,37.303144,-102.535457,SE,2017,3539,0,0,0,0,0,0,51444
COLORADO,Bent,37.931891,-103.077584,SE,2017,5866,0,0,0,0,0,0,0
COLORADO,Boulder,40.094826,-105.398382,NE,2017,322854,22484860,77438466,69.64404963,239.8559906,664092,1231872,8190693
